CPUTimeRAW|NCPUS|ReqGRES|
328|4||
0|1||
16|4||
3|1||
0|1||
96|4||
0|1||
0|1||
8|4||
0|1||
8|4||
4|4||
4|4||
4|4||
4|4||
0|4||
0|1||
0|1||
0|1||
0|1||
0|1||
1|1||
0|1||
0|1||
0|1||
0|1||
0|1||
0|1||
1|1||
0|1||
1|1||
0|1||
0|1||
0|1||
0|1||
0|1||
1|1||
1|1||
0|1||
0|1||
0|1||
0|1||
0|1||
0|1||
0|1||
0|1||
0|1||
1|1||
1|1||
0|1||
0|1||
80|4||
4|4||
16|4||
8|4||
4|4||
16|4||
12|4||
2008|4||
192|4||
2488|4||
4|4||
32|4|gpu:v100:0|
464|4|gpu:v100:0|
2288|4||
56|4|gpu:v100:0|
56|4|gpu:v100:0|
456|4|gpu:v100:0|
456|4|gpu:v100:0|
2172|4||
332|4|gpu:v100:0|
324|4|gpu:v100:0|
452|4|gpu:v100:0|
464|4|gpu:v100:0|
320|4|gpu:v100:0|
336|4|gpu:v100:0|
56|4||
72736|4|gpu:v100:0|
69584|4|gpu:v100:0|
69296|4|gpu:v100:0|
72288|4|gpu:v100:0|
69676|4|gpu:v100:0|
73000|4|gpu:v100:0|
2244|4||
28|4|gpu:v100:0|
40|4|gpu:v100:0|
40|4|gpu:v100:0|
28|4|gpu:v100:0|
28|4|gpu:v100:0|
28|4|gpu:v100:0|
2148|4||
0|1||
376|4|gpu:v100:0|
376|4|gpu:v100:0|
80|4|gpu:v100:0|
80|4|gpu:v100:0|
80|4|gpu:v100:0|
80|4|gpu:v100:0|
80|4|gpu:v100:0|
80|4|gpu:v100:0|
192|4||
0|1||
152|4|gpu:v100:0|
152|4|gpu:v100:0|
108|4||
65992|4|gpu:v100:0|
63632|4|gpu:v100:0|
62668|4|gpu:v100:0|
65636|4|gpu:v100:0|
63392|4|gpu:v100:0|
66264|4|gpu:v100:0|
144|4||
0|1||
804|4|gpu:v100:0|
804|4|gpu:v100:0|
62720|4|gpu:v100:0|
62936|4|gpu:v100:0|
63096|4|gpu:v100:0|
62148|4|gpu:v100:0|
62404|4|gpu:v100:0|
63008|4|gpu:v100:0|
62944|4|gpu:v100:0|
62952|4|gpu:v100:0|
62972|4|gpu:v100:0|
63188|4|gpu:v100:0|
164|4||
0|1||
80|4|gpu:v100:0|
80|4|gpu:v100:0|
67424|4|gpu:v100:0|
63240|4|gpu:v100:0|
62912|4|gpu:v100:0|
36|4|gpu:v100:0|
28|4|gpu:v100:0|
32|4|gpu:v100:0|
388|4||
140|4||
12184|4|gpu:v100:0|
11784|4|gpu:v100:0|
12396|4|gpu:v100:0|
11764|4|gpu:v100:0|
12280|4|gpu:v100:0|
12272|4|gpu:v100:0|
160|4||
32|4|gpu:v100:0|
36|4|gpu:v100:0|
36|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
216|4||
116|4|gpu:v100:0|
88|4|gpu:v100:0|
14052|4|gpu:v100:0|
15348|4|gpu:v100:0|
96|4|gpu:v100:0|
112|4|gpu:v100:0|
0|1||
68|4|gpu:v100:0|
68|4|gpu:v100:0|
92|4||
76096|4|gpu:v100:0|
53844|4|gpu:v100:0|
43148|4|gpu:v100:0|
0|1||
43336|4|gpu:v100:0|
54200|4|gpu:v100:0|
77624|4|gpu:v100:0|
32|4|gpu:v100:0|
112|4|gpu:v100:0|
112|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
40|4|gpu:v100:0|
40|4|gpu:v100:0|
40|4|gpu:v100:0|
40|4|gpu:v100:0|
40|4|gpu:v100:0|
40|4|gpu:v100:0|
208|4|gpu:v100:0|
164|4|gpu:v100:0|
144|4|gpu:v100:0|
144|4|gpu:v100:0|
148|4|gpu:v100:0|
0|1||
212|4|gpu:v100:0|
0|1||
313732|4|gpu:v100:0|
313732|4|gpu:v100:0|
0|1||
18512|4|gpu:v100:0|
18512|4|gpu:v100:0|
0|1||
32|4|gpu:v100:0|
32|4|gpu:v100:0|
8|4|gpu:v100:0|
8|4|gpu:v100:0|
1|1||
44|4|gpu:v100:0|
211900|4|gpu:v100:0|
222864|4|gpu:v100:0|
211784|4|gpu:v100:0|
223348|4|gpu:v100:0|
60|4|gpu:v100:0|
48|4|gpu:v100:0|
39988|4|gpu:v100:0|
41928|4|gpu:v100:0|
39740|4|gpu:v100:0|
42348|4|gpu:v100:0|
44|4|gpu:v100:0|
0|1||
96|4|gpu:v100:0|
96|4|gpu:v100:0|
192|4|gpu:v100:0|
412|4|gpu:v100:0|
412|4|gpu:v100:0|
192|4|gpu:v100:0|
215696|4|gpu:v100:0|
85636|4|gpu:v100:0|
91304|4|gpu:v100:0|
213240|4|gpu:v100:0|
0|1||
280|4|gpu:v100:0|
280|4|gpu:v100:0|
80624|4|gpu:v100:0|
51224|4|gpu:v100:0|
53492|4|gpu:v100:0|
98408|4|gpu:v100:0|
102064|4|gpu:v100:0|
43916|4|gpu:v100:0|
45864|4|gpu:v100:0|
77608|4|gpu:v100:0|
332060|4|gpu:v100:0|
312656|4|gpu:v100:0|
330812|4|gpu:v100:0|
333492|4|gpu:v100:0|
311056|4|gpu:v100:0|
331888|4|gpu:v100:0|
0|1||
4|4|gpu:v100:0|
4|4|gpu:v100:0|
8|4|gpu:v100:0|
8|4|gpu:v100:0|
14488|4|gpu:v100:0|
16016|4|gpu:v100:0|
15184|4|gpu:v100:0|
14520|4|gpu:v100:0|
29900|4|gpu:v100:0|
23676|4|gpu:v100:0|
24048|4|gpu:v100:0|
26440|4|gpu:v100:0|
29732|4|gpu:v100:0|
29944|4|gpu:v100:0|
23204|4|gpu:v100:0|
23492|4|gpu:v100:0|
26348|4|gpu:v100:0|
29764|4|gpu:v100:0|
81132|4|gpu:v100:0|
67676|4|gpu:v100:0|
68032|4|gpu:v100:0|
73992|4|gpu:v100:0|
79424|4|gpu:v100:0|
80196|4|gpu:v100:0|
67892|4|gpu:v100:0|
67264|4|gpu:v100:0|
73292|4|gpu:v100:0|
80108|4|gpu:v100:0|
48|4|gpu:v100:0|
48|4|gpu:v100:0|
5232|4|gpu:v100:0|
4172|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
68|4|gpu:v100:0|
32|4|gpu:v100:0|
28|4|gpu:v100:0|
1804|4|gpu:v100:0|
64|4|gpu:v100:0|
32|4|gpu:v100:0|
0|1||
504|4|gpu:v100:0|
28|4|gpu:v100:0|
1424|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
40|4|gpu:v100:0|
4872|4|gpu:v100:0|
5724|4|gpu:v100:0|
56|4|gpu:v100:0|
0|1||
428|4|gpu:v100:0|
428|4|gpu:v100:0|
312|4|gpu:v100:0|
44|4|gpu:v100:0|
44|4|gpu:v100:0|
312|4|gpu:v100:0|
696|4||
6120|4|gpu:v100:0|
60|4|gpu:v100:0|
60|4|gpu:v100:0|
4628|4|gpu:v100:0|
2420|4||
16|4|gpu:v100:0|
48|4|gpu:v100:0|
